City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
200,Geraldton,-28.77,114.6,46.4,93,0,10.29,clear sky
201,Ballina,-28.87,153.57,55.99,43,0,14.99,clear sky
202,Umm Kaddadah,13.6,26.69,82.11,62,92,10.65,light rain
203,Bowen,-20.02,148.23,66.0,82,37,5.82,scattered clouds
204,Kurumkan,54.3,110.3,57.58,86,97,2.04,light rain
205,Deputatskiy,69.3,139.9,33.17,92,100,5.08,overcast clouds
206,Iguape,-24.71,-47.56,61.54,83,3,8.12,light rain
207,Labrea,-7.26,-64.8,79.14,37,0,1.88,clear sky
208,Egvekinot,66.32,-179.17,49.15,86,96,0.76,light rain
209,Gravdal,68.12,13.5,52.97,77,76,17.63,broken clouds
210,Cururupu,-1.83,-44.87,75.22,92,45,3.71,scattered clouds
211,Cabo San Lucas,22.89,-109.91,91.4,52,20,9.17,few clouds
212,Kununurra,-15.77,128.73,60.8,21,0,5.19,clear sky
213,Olafsvik,64.89,-23.71,50.38,73,7,6.4,clear sky
214,Airai,-8.93,125.41,62.22,39,46,5.14,scattered clouds
215,Maumere,-8.62,122.21,76.93,71,56,3.69,broken clouds
216,Havelock,34.88,-76.9,80.6,83,75,9.17,broken clouds
217,Saint-Francois,46.42,3.91,57.2,76,32,2.53,scattered clouds
218,Nagato,34.38,131.2,80.6,88,75,5.82,broken clouds
219,Ubajara,-3.85,-40.92,69.26,73,60,3.69,broken clouds
220,Mvangue,2.97,11.52,67.48,98,100,3.6,light rain
221,Rudnyy,52.96,63.12,48.2,93,40,8.95,scattered clouds
222,Wattegama,6.8,81.48,78.8,100,20,4.7,few clouds
223,Kalmunai,7.42,81.82,78.46,79,10,9.31,clear sky
224,Conceicao Do Araguaia,-8.26,-49.26,84.9,36,67,3.4,broken clouds
225,Todos Santos,23.45,-110.22,81.0,80,30,3.0,scattered clouds
226,Sao Joao De Pirabas,-0.77,-47.18,79.29,82,93,8.19,light rain
227,Troitsko-Pechorsk,62.71,56.2,48.27,94,3,3.15,clear sky
228,Saskylakh,71.92,114.08,45.64,70,0,8.72,clear sky
229,Saint George,37.1,-113.58,104.0,16,1,4.7,clear sky
230,Acapulco,16.86,-99.89,86.0,74,40,6.93,scattered clouds
231,Pontes E Lacerda,-15.23,-59.34,77.31,41,2,0.74,clear sky
232,Dois Vizinhos,-25.73,-53.06,53.76,92,0,3.13,clear sky
233,Luganville,-15.53,167.17,78.8,94,90,6.93,heavy intensity shower rain
234,Hami,42.8,93.45,76.19,26,78,3.6,light rain
235,Mamallapuram,12.63,80.17,82.4,74,75,11.41,broken clouds
236,Tecoanapa,16.52,-98.75,83.48,76,17,8.5,light rain
237,Port Hedland,-20.32,118.57,57.2,71,0,4.7,clear sky
238,Hamilton,39.18,-84.53,84.99,62,20,10.29,few clouds
239,Caraballeda,10.61,-66.85,82.4,78,75,5.82,broken clouds
240,Ampere,-25.91,-53.47,54.18,90,0,3.58,clear sky
241,Muyezerskiy,63.93,31.65,52.83,92,1,6.02,clear sky
242,Sumbe,-11.21,13.84,68.85,89,9,0.74,clear sky
243,Constitucion,-35.33,-72.42,52.12,78,100,15.35,overcast clouds
244,Grindavik,63.84,-22.43,48.2,87,37,6.93,scattered clouds
245,Virginia Beach,36.85,-75.98,88.0,58,75,10.29,broken clouds
246,Nouadhibou,20.93,-17.03,75.2,78,0,13.87,clear sky
247,Santona,43.44,-3.46,68.0,82,20,1.92,few clouds
248,Toguchin,55.24,84.39,50.68,91,22,4.9,few clouds
249,Pakxan,18.38,103.66,74.62,95,100,0.56,overcast clouds
250,Broome,42.25,-75.83,81.0,69,20,4.7,few clouds
251,Luderitz,-26.65,15.16,57.65,72,0,10.45,clear sky
252,Port Shepstone,-30.74,30.45,61.5,55,0,5.61,clear sky
253,Hasaki,35.73,140.83,79.0,94,75,6.93,broken clouds
254,San Rafael,-34.62,-68.33,58.75,30,0,4.45,clear sky
255,Naze,28.37,129.48,84.2,89,75,18.34,broken clouds
256,Onda,39.97,-0.25,78.01,78,30,1.81,scattered clouds
257,Mitchell,43.71,-98.03,95.0,32,1,9.17,clear sky
258,Yar-Sale,66.83,70.83,49.89,95,38,13.89,scattered clouds
259,Urbano Santos,-3.21,-43.4,75.43,88,31,5.59,scattered clouds
260,Hoquiam,46.98,-123.89,68.0,72,1,13.87,clear sky
261,Durango,24.83,-104.83,76.46,34,19,16.53,few clouds
262,Conde,-7.26,-34.91,71.6,88,76,5.82,broken clouds
263,Norwood,42.19,-71.2,73.99,88,90,9.17,heavy intensity rain
264,Hinganghat,20.57,78.83,75.2,94,75,4.7,mist
265,Shakawe,-18.37,21.85,60.55,50,0,4.54,clear sky
266,Port Blair,11.67,92.75,81.25,83,99,8.21,overcast clouds
267,Saint-Pierre,-21.34,55.48,66.2,68,12,5.82,few clouds
268,Aklavik,68.22,-135.01,69.8,52,75,11.41,broken clouds
269,San Cristobal,7.77,-72.22,87.8,43,40,21.92,scattered clouds
270,Ghanzi,-21.57,21.78,59.05,48,0,6.89,clear sky
271,Ouesso,1.61,16.05,71.51,92,99,2.71,overcast clouds
272,Inhambane,-23.86,35.38,64.87,76,0,8.32,clear sky
273,Ankang,32.68,109.02,70.47,90,100,3.24,light rain
274,Aksu,41.12,80.26,73.24,35,0,1.72,clear sky
275,Loei,17.42,101.5,64.18,100,100,2.1,light rain
276,Sabang,5.89,95.32,83.16,73,56,7.96,light rain
277,Pacific Grove,36.62,-121.92,75.0,68,1,3.36,smoke
278,Lincent,50.71,5.04,60.8,77,83,11.41,broken clouds
279,Lavrentiya,65.58,-171.0,47.43,93,100,5.86,overcast clouds
280,Pochutla,15.74,-96.47,73.4,88,90,3.89,thunderstorm with heavy rain
281,Yerofey Pavlovich,53.97,121.97,51.3,95,100,6.76,light rain
282,Zabaykalsk,49.63,117.32,59.81,82,39,8.43,scattered clouds
283,Los Algarrobos,8.5,-82.43,84.2,74,40,4.7,scattered clouds
284,Port Hawkesbury,45.62,-61.35,71.6,56,90,5.82,overcast clouds
285,Hambantota,6.12,81.12,78.8,100,20,4.7,few clouds
286,Ulladulla,-35.35,150.47,48.2,57,0,16.11,clear sky
287,Gangakher,18.95,76.75,73.11,88,91,7.11,overcast clouds
288,Oskemen,49.96,82.61,50.0,87,100,4.18,overcast clouds
289,Petropavlovsk-Kamchatskiy,53.05,158.65,53.6,100,40,6.71,scattered clouds
290,Antofagasta,-23.65,-70.4,57.2,76,20,9.17,few clouds
291,Gua Musang,4.88,101.96,72.1,92,58,0.87,broken clouds
292,San Ignacio,17.16,-89.07,89.6,62,40,6.93,thunderstorm
293,Saldanha,-33.01,17.94,55.4,87,58,5.82,broken clouds
294,Bathsheba,13.22,-59.52,82.4,78,20,9.17,few clouds
295,Anamur,36.08,32.84,69.8,68,0,5.82,clear sky
296,Horsham,51.06,-0.33,60.01,72,98,9.17,overcast clouds
297,Evensk,61.95,159.23,50.38,51,96,6.31,overcast clouds
298,Laurens,32.45,-82.92,78.01,88,75,3.36,light rain
299,San Francisco,37.77,-122.42,78.8,56,75,17.22,broken clouds
300,Krivosheino,57.34,83.93,49.03,97,42,2.26,scattered clouds
301,Norman Wells,65.28,-126.83,71.6,43,20,18.34,few clouds
